"image","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"_adamremove",0,0,0,0,0,0,0,0,0,0,0,0
"_jeff_add",0,0,0,0,0,0,0,0,0,0,0,0
"_jeff_remove",0,0,0,0,0,0,0,0,0,0,0,0
"_mvp",0,0,0,0,0,0,0,0,0,0,0,0
"alamode",-0.372435608465132,0.112031742584534,-0.107297450179262,-0.111241246725506,0.101699573881876,-0.022615840173456,0.0241266224316665,0.103967357816767,-0.0685373282301624,-0.0181727957559033,-0.0266542793841216,0.138928396326954
"alaskansalmon",-0.0847704033031184,0.020392708425715,0.0852068562603533,0.0276675282917571,0.0303722749534395,0.0835099998447155,-0.0367505259079043,-0.0305575608168374,-0.0411087692852049,0.00364111670979498,0.0205549584607592,0.00962917784773728
"alcohol",-0.305960274494953,0.0425011533355762,0.00888729304848975,0.0874414303684935,0.072546473547639,0.0244439534835397,-0.0725963302434679,-0.0180453437364565,-0.142171073955937,0.152226617794619,0.178796570359492,0.173128373687773
"almond",-0.621925500588264,0.363239548027046,0.0454720868446144,-0.0447740402220831,0.0144870707467225,-0.141957322311622,0.030002631272775,-0.254600162459134,-0.00173690256481687,0.166983780821859,0.121867444541454,-0.154581025382966
"almonds",-0.627216999154158,0.3123092378426,0.176119393382205,0.0139021806927025,-0.2854261304063,-0.0187403551482119,0.275595089511872,-0.156904871058031,-0.197579971167184,0.0330058599868637,0.189920441057632,-0.0767476332806059
"alpastor",-0.0918124946498516,-0.0232901399636696,0.0962152591223581,0.0242948485983797,-0.000930993482963379,0.0711849153216661,-0.112067556660416,-0.0443290943202756,0.0619998796378665,-0.0236195407752178,0.0797214832107439,-0.0962130124279448
"american",-0.266627100080009,-0.0334958525186778,-0.0205809078296304,0.143466209763847,0.0292201960437768,-0.0235944384420682,-0.0549828035570713,0.0824625087004201,-0.0130366322870168,0.033007382249022,0.0452608142812906,-0.0313906531151395
"antipasti",-0.482609299608844,-0.199406360387042,-0.0287821189619587,-0.399892167812962,-0.0214388208937337,-0.0674547708364399,-0.00156603182016117,0.14986586887314,-0.0549069191070919,-0.148966578568038,0.30324801582037,0.0828484570519564
"aperitif",-0.396799864570489,0.0233723461560732,0.0175668992313006,-0.335474644594272,0.104204943649774,0.000502869108649842,-0.075751050633078,0.0538799759800687,-0.0944329680674772,-0.131301152918723,0.24470737955371,0.0815822007298015
"aperitivo",-0.331710155439129,-0.0588025685742639,-0.0626964051952809,-0.327722405912481,0.0735422117114268,-0.102378662434172,0.0594854361053785,0.118146004537082,0.00523784537068648,-0.155183638635934,0.26609311718127,0.0942448785139644
"appetizer",-0.568789865789927,-0.275009585784706,-0.100332096558086,-0.160964443942009,0.131675375141647,-0.0417957763404983,0.121794010342284,0.177327159940528,-0.036133906460986,-0.0774610466703666,0.0939377583047367,-0.0261021897964369
"apple",-0.545634769330498,0.32113320686706,0.0613369737756658,0.114030454839934,0.0863535863171946,0.0887863323774224,-0.209756330019411,0.137323309924611,0.0287076597676779,-0.0218028928112458,0.0670689918268131,-0.0484901051007005
"applepie",-0.540577919133326,0.133343178444385,-0.121802467004336,-0.0500382350459842,-0.113726816405136,-0.0442774219969326,-0.0314236372794407,0.0606004287828064,-0.0240615738443909,-0.158435144735506,-0.0350158223716181,0.0924810634370371
"apples",-0.537558934721369,0.299158067845889,0.152920720588682,0.167184380426603,-0.193847767272954,0.299515239526521,-0.0574098228399876,0.19865968924605,-0.0609725947613861,-0.126601530046998,0.00943120280719366,-0.0147584904721338
"applesauce",-0.599439558134183,0.175182820140542,-0.0463449701193333,0.245333217758452,-0.16886254748264,-0.0221487696452682,0.0236461422365207,0.0888839628779255,0.223520200792628,0.105510901185471,-0.1081489146132,0.13102810592794
"appleturnover",-0.136914020824432,0.0160717467883168,0.0395204653377088,0.00492866791188393,0.0185545236484201,0.03135230240522,-0.110052386901419,0.0323515496439941,0.0385411457343514,-0.00778457638061384,0.00106022097203924,0.0235079203050705
"apricot",-0.611443357225679,0.412624148510925,0.146733950475266,-0.0600957660375777,0.166462482347903,-0.0160465061170375,-0.116296480031915,-0.0541461185211008,-0.070465198627019,0.0144338258272226,0.0552356422936065,-0.0172132513398329
"artichoke",-0.600531085347932,-0.0766537291516188,0.215556002663611,-0.180875503437373,0.0226162376655209,-0.0727726395421478,-0.000200676215336041,0.088000924819315,0.0787226593242258,0.0670084924855192,0.0648525287207651,-0.124114121592049
"arugula",-0.63402158588133,-0.0904364771109449,0.331741661311696,-0.107884302211119,-0.0711944778895238,-0.277543267127332,0.0326198075468843,0.206930380124547,0.0408752494291259,-0.0445984982650103,-0.0151312634247536,-0.183851771781247
"asian",-0.355900416646827,-0.0795264598573216,0.0735326179534206,0.0714879689432924,0.179867109510171,0.108959626108523,0.0663737346645375,-0.133891743463743,0.0209351018215432,-0.0297958606426828,-0.0412993533000855,-0.00922132941355961
"asparagus",-0.683812937894671,-0.0877436729870132,0.335383949047055,-0.1407691542017,-0.0516560865827222,0.139888335276621,-0.0220462121844713,0.159819960780013,0.0535140728173107,0.041654648654412,-0.0718910987038204,-0.237759029551714
"avocado",-0.674465037584615,0.0555901368613456,0.188371150568599,0.13855747878442,0.183225030783558,-0.172000413273548,0.0876336575190042,-0.00117192573005327,0.0930458587577215,-0.082614850372592,0.0917677184616833,-0.280339052721931
"bacon",-0.666490664700137,-0.12645367837496,-0.0638885280588168,0.157271739720404,-0.132045663775354,-0.0417454754485256,-0.240243203887522,0.0663629259520972,-0.181895763266377,0.125240539550697,-0.0750167090466966,-0.102314462487124
"baconandeggcups",-0.198260377058603,-0.0314613004562554,-0.00512493314761969,0.0781947406830722,-0.027816361973429,0.0376262694094863,-0.0199563085966656,-0.0043527656385197,-0.0228295886359283,0.0651962764546508,0.0298639492870663,-0.00618568188911103
"baconandpepperpizza",-0.316214693578871,-0.137723955308332,0.0815280811319457,0.064859399171232,0.076408384990175,-0.0434255415869182,0.0451180631455129,0.0332349807544552,-0.0853430084644282,0.134871094764313,0.0615199704359133,-0.0743717153004621
"baconbits",-0.221739189404546,0.0294041303165396,-0.0075530736653782,0.0802683681410608,-0.00561415764613295,-0.0827590797278029,-0.0304327282458463,0.0287114309062979,-0.0638634342101149,0.0541482696172848,-0.00347643005524926,0.084582573631197
"bagel",-0.58156563963485,-0.0120592077311158,-0.31004875854032,0.118661660216287,-0.104512962398811,-0.264768601987916,-0.233688998159284,-0.0538419116572275,0.0929623084343773,-0.147693879063208,0.0374109475971933,-0.198599650676178
"bagelbites",-0.180623767430579,0.0219679713073482,-0.0676524590918226,0.0370309929697366,0.0488191869894129,-0.0338846415154045,-0.0379997577042732,-0.0337677885535529,-0.0733738952587115,-0.00194551077784266,0.00942156784863664,-0.05857269047712
"bagelwithlox",-0.185744564297445,0.067436734898724,-0.0018091710780352,0.102525994016373,0.00837215174198326,-0.00357559050402093,0.00398410954863354,-0.075651582363644,0.0771183144879384,-0.0104723301111558,-0.0298747049305959,-0.0135668799877676
"baguette",-0.573497414560343,-0.046212772482383,-0.153031199349915,-0.1103154616956,-0.156863307368412,-0.162055590259958,-0.256847501285019,-0.00601191463218936,-0.0703112558418961,-0.226719549219871,0.0992824847097412,-0.162834137687522
"baked",-0.556791087653749,0.0492094654470563,-0.278830706953973,-0.05377291236062,-0.246014729211595,0.160276651219628,-0.0385616275177304,0.0171640757851292,-0.0404249577961214,-0.0501991188207329,-0.00879522007105835,-0.0799109720044608
"bakedbeans",-0.24008212660417,0.0564684866238388,0.00718966880061575,0.0269924974991794,-0.0656035265328009,0.0937127443499406,0.0544318553634005,-0.0459318977462402,0.0109367689990263,0.0204838486913442,0.00452583914080136,0.0507521799745068
"bakedgood",-0.217474508209087,0.0118533453947751,-0.0218355570043301,0.0261983793816487,0.00881646838343796,-0.0596915398177671,-0.0371025286759944,-0.0853129656106152,-0.00878456107127491,-0.0159873252689974,0.00616052609922729,0.0240795806574292
